natural_command,bash_command
Find all directories under /home/username/public_html/themes and set their permission to 750,find /home/username/public_html/themes -type d -exec chmod 750 {} +
Find all *text files/directories under current directory,"find -name ""*text"""
Find all *.jpg files in Cam2/2013* paths and send the contents to a ffmpeg command to create a video file,"find Cam2/2013* -name ""*.jpg"" -print0 | xargs -0 cat | ffmpeg -f image2pipe -framerate 30 -vcodec mjpeg -i - -vcodec libx264 -profile:v baseline -level 3.0 -movflags +faststart -crf 19 -pix_fmt yuv420p -r 30 ""Cam2-2013-30fps-19crf.mp4"""
Find all files/directories which have been modified from the start of the day in directories/files taken from the glob pattern '/tmp/test/*',find /tmp/test/* -daystart -mtime -0
Find and remove multiple files such as *.mp3 or *.txt under current directory,"find . -type f -name ""*.txt"" -exec rm -f {} \;"
Find the most recently changed files in a subtree,find . -type f -printf '%TY-%Tm-%Td %TT   %p\n' | sort
Copies all files like '*.txt' under the current directory to the './tmp/' directory.,"find . -type f -name '*.txt' | sed 's/'""'""'/\'""'""'/g' | sed 's/.*/""&""/'  | xargs -I{} cp -v {} ./tmp/"
count the total number of lines that are present in all the normal/regular files,find . -type f -exec wc -l {} \; | awk '{total += $1} END{print total}'
find all files that names are dir-name-here,"find / -name ""dir-name-here"""
Find directories owned by user news with permissions 775,find / -user news -type d -perm 775 -print
"display all regular files in current folder excluding search in the directories that are ending with ""git,svn""",find . \( -type d -regex '^.*/\.\$' -prune -false \) -o -type f -print0
Delete all .svn subdirectories under current directory,"rm -rf `find . -type d -name "".svn""`"
Find out all files owned by user vivek,find / -user vivek
"display all the regular/normal files in the folder ""/home/user/demo"" which have the permission 777.",find /home/user/demo -type f -perm 777 -print
Remove recursively Emacs backup files in the current directory,find . -name '*~' -print0 | xargs -0 rm
"Recursively finds files like '*.php' or '*.phtml' in folder /project/directory ignoring case differences, filters out files with any cased pattern '/some/directory' in path, and processes found files with xgettext tool.",find /project/directory -iname '*.php' -or -iname '*.phtml' | grep -iv '/some/directory' | xargs xgettext
Find all *.zip files under current directory and unzip them in the same directory as the files,"find . -name '*.zip' -exec sh -c 'unzip -d ""`dirname \""{}\""`"" ""{}""' ';'"
"Find all *.txt files under current directory, change their permission to 666 and copy them to /dst/ directory",find . -name \*.txt -exec chmod 666 {} \; -exec cp {} /dst/ \;
Find all files/directories that contain 'packet'  in their names excluding directories that are bigger than 1500 bytes in size,"find . -iregex "".*packet.*"" ! -type d -size +1500c"
"Find all *.page  files/directories under current directory and run ~/t.sh for each of them with the file path as argument, then sort the output",find . -iname *.page -exec ~/t.sh {} \; | sort
"Find .java files in the current directory tree that contain 'TODO', and print their names","find . -name ""*.java"" -exec grep -Hin TODO {} + | basename `cut -d "":"" -f 1`"
Find all regular files in minimum 1 level down the $dir directory,"find ""$dir"" -mindepth 1 -type f"
display all the files  in the current folder which have colon in their name,"find . -name ""*:*"""
Find all directories under '/var/www' directory tree excluding '/var/www/web-release-data' and '/var/www/web-development-data' directories and their sub-directories,"find /var/www -type d \( ! -wholename ""/var/www/web-release-data/*""  ! -wholename ""/var/www/web-development-data/*"" \)"
Remove trailing white spaces and replace CRLF with LF in all files under current directory ignoring .git and .svn directories,find . -not \( -name .svn -prune -o -name .git -prune \) -type f -exec sed -i 's/[:space:]+$//' \{} \;  -exec sed -i 's/\r\n$/\n/' \{} \;
Find all files/directories under current directory,find -print
Print the cp commands that would be required to copy all *.data files under /source_path to /target_path by appending the parent directory names in the source paths to the beginning of each of the target file names,"find /source_path -name \*.data  | while read -r filename; do printf ""print version: cp %s %s\n"" ""${filename}"" ""$(printf ""%s\n"" ""${filename}"" | sed ""s/^.*[/]\[/]\$/\/target_path\/\1_\2/"")""; done"
display all the files in current folder which are bigger than 10KB,find . -size +10k
Find all directories in /path/to/dir/ without going into sub-directories,find /path/to/dir/ -mindepth 1 -maxdepth 1 -type d
"find all jpg files in the folder which are in the path ""/201111/"" and sort them based on name","find */201111/* -name ""*.jpg"" | sort -t '_' -nk2"
"Recursively finds all files and prints only names of files that contain ""word"" and suppressing error messages .",find . | xargs grep 'word' -sl
display all the files in the entire file system,"find / -name ""*"" — print"
find all the files that have been changed exactly 24 hours ago,find . -ctime 1 -type f
find all the files in the current directory whose size is equal to exactly 126MB.,find . -size 126M
Search the /path directory tree for files missing g+w and o+w bits,find /path ! -perm /022
Find all files under current directory and set read-write permission for owner and group and no permission for other for those directories,"find . -type f -exec chmod ug=rw,o= {} \;"
Search the current directory tree for all files except SVN ones,find . -not -iwholename '*.svn*'
Change permissions to 755 for all directories in the /path/to/dir directory tree,find /path/to/dir -type d -exec chmod 755 {} \;
tar all files in the current folder and ask for user confirmation before creating the tar ball,find . -ok tar rvf backup {} \;
find files which have all permissions to all the users in the current directory,find . -type f -perm 0777 -print
"Calculate the total disk usage for each "".jpg"" file on the system and prepend the system host name to the output","find ""$PWD"" / -iname '*.jpg' -exec du -s {} + | sed ""s/^/$(hostname): /"""
Find all files starting from / that belong to user1,find / -user user1
Delete files with inode number specified by [inode-number] under current directory,find . -inum [inode-number] -exec rm -i {} \;
display top 11 files along with the last access date for all the files in the file system,"find / -type f -printf ""\n%AD %AT %p"" | head -n 11"
Search in the current directory and all sub-directories except ./D and any further sub-directories also named D for the file named hi.dat,$ find . \ -o -name hi.dat
search for all the files in the folder /home which have sticky bit set and have the permissions 553,find /home -perm 1553
Find all files/directories under minimum 2 level down the current directory and set their permission to 700,find . -mindepth 2 | xargs chmod 700
"Move all files matching patterns ""*.old"", "".old"", "".*.old"" from the current directory to directory ""../old/""",find . ! -name . -prune -name '*.old' -exec mv {} ../old/ \;
show all the directories in the current folder,find . -type d
"Calculate the md5sum of each "".py"" file under ""/path/to/dir/"", sort the output, and calculate the md5sum of that","find /path/to/dir/ -type f -name ""*.py"" -exec md5sum {} + | awk '{print $1}' | sort | md5sum"
"Replace all occurrences of word ""foo"" with ""bar"" in *.c and *.h files from the current directory tree",find -name '*.[ch]' -exec sed -i 's/\<foo\>/bar/g' {} +
"copy the entire contents of the current directory to another directory, while preserving the permissions, times, and ownership of every file and sub-directory",find . | cpio -pdumv /path/to/destination/dir
"Copy the directory hierarchy from ""original"" to ""new""",find original -type d -exec mkdir new/{} \;
Fint all *.txt files/directories in entire file system without descending to other file system and without error reporting,"find / -name  ""*.txt"" -xdev 2> /dev/null"
Find all '*~' files under current directory,find ./ -name '*~'
"find regular files whose filename is ""your_pattern"", suppressing all error messages.","find / -type f -name ""your_pattern"" 2>/dev/null"
find  files which full path name is foo/bar under foo directory and print,find foo -path foo/bar -print
"Search for ""#define"" in all files in the current directory, excluding backup files *~, *.orig, *.bak","find . -maxdepth 1 ! -regex '.*~$' ! -regex '.*\.orig$' \     ! -regex '.*\.bak$' -exec grep --color ""#define"" {} +"
Search  in current directory downwards all files whic  have permission 777 .,find . -perm 777 -print
"Find all directories under and below directory ""folder_name"", and change their permissions to 775",find folder_name -type d -exec chmod 775 ‘{}’ \;
Truncate all non-empty regular files under the current directory,find . -type f -maxdepth 1 -not -empty -print0 | xargs -0i cp /dev/null {}
"delete recursively, without prompting, any files or directories under the current directory that case insensitively match the filename "".svn""",find . -iname .svn -print0 | xargs -0 rm -rf
change cgi files to mode 755,"find htdocs cgi-bin -name ""*.cgi"" -type f -exec chmod 755 {} \;"
Find all directories under /path/to/base/dir and change their permission to 755,find /path/to/base/dir -type d -print0 | xargs -0 chmod 755
find regular file named foo.txt under root / directory.,find / -name foo.txt -type f -print
find all files in the current folder which are of size 0 bytes.,find . -type f -empty
display long listing of all the regular hidden files in the folder Musica,"find Música/* -type f -name "".*"" -exec ls -l {} \;"
Find all .java files under and below the current directory,find . -name '*.java'
"display all the home folder which end with the extension ""sxw"" and which have been accessed in the last 3*24 hours and which belong to the user bruno","find /home -type f -name ""*.sxw"" -atime -3 -user bruno"
display all the normal/regular files in the current folder,find . -type f
remove all text files from the current folder,"find -name ""*.txt"" | xargs rm"
Count the number of files/directories with '.php' extension under current directory tree and change the permissions to 755,"find . -name ""*.php"" -exec chmod 755 {} \; -exec /bin/echo {} \; | wc -l"
Copy a file xyz.c to all the .c files present in the C directory and below,"find ./C -name ""*.c"" | xargs -n1  cp xyz.c"
"find all the regular/normal files in the current folder which belong to the user ""sedlav""",find . -user sedlav -type f
Show files in /home owned by group `test',find /home -group test
List all files under current directory matching the regex '.*\',find . -type f -regex '.*\' -exec ls {} \;
Search for files/directories with the case insensitive pattern anaconda.* in var/log directory and create an archive  of all the files found,"find var/log/ -iname ""anaconda.*"" -exec tar -rvf file.tar {} \;"
List all files/directories in entire file system,find / -print
"display a list of all the normal/regular files in the file system ,excluding the folder proc which have the suid or sgid bit set",find / -path /proc -prune -o -type f -perm +6000 -ls
"Search the current directory tree for files whose name is "".note"", case insensitive",find . -iname '.note'
Remove all *.sql files in the $backup_path directory that were last modified more than 5 days ago,find $backup_path/*.sql -mtime +5 -exec rm -f {} \;
display all the directories in the current folder excluding those that are present in the aa directory tree,find . -type d -name aa -prune
find all the files in the home folder which are empty,find ~ -empty
Remove files from the home directory tree that were last accessed more than 100 days ago,find ~ -atime +100 -delete
Move all files/directories under current directory to ~/play,find . | xargs -I'{}' mv '{}' ~/play/
"Find all the .mp3 files in the music folder and pass to the ls command, -print0 is required if any filenames contain whitespace","find ./music -name ""*.mp3"" -print0 | xargs -0 ls"
Convert directory of files from dos to unix,"find . -type f | while read file; do sed -e 's/^M//g' -i ""$file""; done"
search for files having python in filename,find / -name '*python*'
Search the current directory tree for symbolic links to files matching pattern '*/test*',find -P . -lname '*/test*'
"Find all files/directories under '/usr/share/data' directory tree that match the posix extended regex "".*/20140624.*"" in their paths and save the list to '/home/user/txt-files/data-as-of-20140624.txt'","find /usr/share/data -regextype posix-extended -regex "".*/20140624.*"" -fprint /home/user/txt-files/data-as-of-20140624.txt"
find all files in current folder which are bigger than 1 MB and move them to another folder,find . -size +1M -print0 | xargs -0 -I '{}' mv '{}' files
Find all regular files starting from level 3 of directory tree ~/container and move them one level up,"find ~/container  -mindepth 3 -type f  -execdir mv ""{}"" $(dirname ""{}"")/.. \;"
find files in /u/bill directory which are access an 2 to 6 minutes ago,find /u/bill -amin +2 -amin -6
change the owner and group of all the normal/regular files in the current folder and /home/admin/data/ to admin & admin,find . /home/admin/data/ -type f -exec chown admin.admin {} \;
Search for 'string-to-find' in all files under current directory tree and show the matched lines with their filenames,find . -exec grep -H string-to-find {} \;
Delete all files/directories named 'FILE-TO-FIND' under current directory tree,"find . -name ""FILE-TO-FIND"" -exec rm -rf {} \;"
List all .gif files in the current directory tree,find . -name *.gif -exec ls {} \;
"Count the total number of lines in all HTML files under /usr/src that contain string ""foo""","find /usr/src -name ""*.html"" -execdir /usr/bin/grep -H ""foo"" {} ';' | wc -l"
Find and remove all .core files,"find / -name ""*.core"" -print -exec rm {} \;"
Print a detailed list of all regular files from the current directory tree,find . -type f -ls
"List all regular files matching the name pattern ""$1*""  under '/usr', '/bin', '/sbin' and '/opt' directory tree","find /usr /bin /sbin /opt -name ""$1*"" -type f -ls"
"Find files that are writable by the user, the group, or both under the current directory",find . -perm +220  -exec ls -l {} \; 2> /dev/null
List the files from the current directory tree that contain lines matching regular expression  '^Subject:.*unique subject',find . -type f -print0 | xargs -0 grep -il '^Subject:.*unique subject'
"Recursively finds string with text ""foo"" in all files of a current folder.","find ./ -type f | xargs grep ""foo"""
Find all files under path_to_dir,find path_to_dir -type f
display all files in current folder which are bigger than 1 MB,find . -size +1M
Remove regular files in the current directory tree,find . -type f -print0 | xargs -0 -n1 echo rm | sh -x
Find all files/directories named 'apt' in the entrie filesystem,"find  / -name ""apt"""
Find all pdf files under /dir/containing/unsigned with null character as the delimiter,find /dir/containing/unsigned -name '*.pdf' -print0
find all the regular/normal files in the /path folder and delete them,find /path -type f -exec rm '{}' \;
delete all text files in the home folder after user confirmation,"find $HOME/. -name ""*.txt"" -ok rm {} \;"
search for all the text files in the folder /home/calvin/ and save the output to  /tmp/search.log,find /home/calvin/ -name “*.txt” > /tmp/search.log
"Counts all files in a current folder and in subfolders one-level lower, and sort folder list by number of files within.",find . -maxdepth 1 -type d -print0 | xargs -0 -I {} sh -c 'echo  $ {}' | sort -n
"Search all files in the current directory tree whose names end in ""1"" for string ""1""","find . -name ""*1"" -exec grep ""1"" {} +"
List files in the current directory and below except for GIT files,find . -not -iwholename '*/.git/*'
Find all files/directories under current directory tree whose paths match the pattern '*ACK*1',"find . -iwholename ""*ACK*1"""
display all text files in the folder /tmp/1,"find ""/tmp/1"" -iname ""*.txt"""
Print extended file information for regular files found under the home directory whose names start with my,find . -name 'my*' -type f -ls
Find all the files which are changed in last 1 hour in entire file system and show a few lines of output from the beginning,find / -cmin -60 | head
Remove all .mpg files in the /home/luser directory tree,find /home/luser -type f -name '*.mpg' -exec rm -f {} \;
Search the home directory tree for files matching pattern '*.txt',find ~ -name *.txt
"Search the current directory tree for *.wav files that have ""export"" in their pathnames","find -type f -name ""*.wav"" | grep export"
Find all files under /mnt/naspath directory without descending into .snapshot directory that were modified in last 24 hours with null character as the delimiter,find /mnt/naspath -name .snapshot -prune -o \( -type f -mtime 0 -print0 \)
find all the jpg files in the current folder and resize them to 50% of their original size,"find . -name ""*.JPG"" -exec convert {} -resize 50% {} \;"
Find all image.pdf files/directories under ./polkadots,find ./polkadots -name 'image.pdf'
display all the text files in the temp folder,find /tmp -name *.txt
Find files and directories modified in last 24 hours,find . -mtime 1
"search for the word ""slrn"" in all the files in the current folder",find ./ -exec grep -q 'slrn' '{}' \; -print
"Search the current directory tree for files containing ""album"" and ""vacations"" in their names and not containing ""2015""","find . -name ""*album*"" -a -name ""*vacations*"" -a -not -name ""*2015*"""
ask user confirmation and delete all the files in the directory /mydir which have not been accessed in the last 100*24 hours,find /mydir -atime +100 -ok rm {} \;
"Remove all regular files from the current directory tree whose names do not end with ""ignore1"" or ""ignore2""",find . -type f -not -name '*ignore1' -not -name '*ignore2' | xargs rm
Find all files/directories named modules under current directory and list them twice,find . -name modules \! -exec sh -c 'find -name modules' \;
"list all regular files under the directory ""$directory""",find $directory -type f -name '*'
"search for the file ""process.txt"" in the entire file system","find / -name ""process.txt"""
"Search the files from the current directory tree for ""chrome""",find . | xargs grep 'chrome'
Find all files/directories under current directory with null character as the delimiter,find . -print0
find all files that were modified between 90 to 100 days ago in home directory and delete then .,find /home -type f -mtime +90 -mtime -100  -exec rm  {} \;
Find all *.php (case insensitive) files and *.js files/directories (case insensitive) under /home/jul/here excluding $EXCLUDE/* paths,"find /home/jul/here -type f -iname ""*.php"" ! -path ""$EXCLUDE/*"" -o -iname ""*.js"" ! -path ""$EXCLUDE/*"""
Change permissions to 0755 for all directories in the /path directory tree,find /path -type d -exec chmod 0755 {} \;
Count the number of total files and folders under current directory tree,find . -print0 | tr -cd '\0' | wc -c
Print the first line of every file matching pattern 'file?B' in the xargstest/ directory tree,find xargstest/ -name 'file?B' | sort | xargs head -n1
display all html files in current folder and replace some pattern in all these files,"find -name ""*.htm"" | while read file; do sed ""s|<title>sometext</title>|<title>${file##*/}</title>|g"" -i $file; done"
Find files/directories named 'photo.jpg' in the entire filesystem,find / -name photo.jpg
Find all files/directories named 'file' without descending into directories with the same name under current directory tree,find -name file -prune
Change the group of all directories  under current directory tree to a group with the same name as the directory name,"find . -type d | sed -e 's/\.\///g' | awk '{print $1, $1}' | xargs chgrp"
"Find all files, starting from / but ignoring removable media, whose names end with "".rpm""","find / -xdev -name ""*.rpm"""
Create a script to find and delete all directories older than a certain number of days in a directory.,"#!/bin/bash

find . -type d -mtime +$1 -delete
echo ""Old directories deleted."""
"Search all .c and .h files in the current directory tree for string ""e""","find . -name ""*.[ch]"" -exec grep --color -aHn ""e"" {} \;"
find  files which full path name is foo/bar under foo directory and print,find foo -path /tmp/foo/bar -print
Find .rmv files in the ./root directory recursively and copy them to directory /copy/to/here,find root -name '*.rmv' -type f -exec cp {} /copy/to/here \;
Find all files and directories in the current directory recursively that contain spaces in their names,find . -name '* *'
Find all directories in directory tree `httpdocs',find httpdocs -type d
"Compress all files not ending in "".gz"" in directory ""$PATH_TO_LOGS"" that were last modified more than ""$SOME_NUMBER_OF_DAYS"" days ago","find $PATH_TO_LOGS -maxdepth 1 -mtime +$SOME_NUMBER_OF_DAYS -exec sh -c ""case {} in *.gz) ;; *)  gzip '{}' ;; esac;"" \;"
List subdirectories in the current directory,"find . -maxdepth 1 -type d -exec ls -ld ""{}"" \;"
Compresses all '*.xml' files under current directory with 'bzip2' utility.,find -name \*.xml -print0 | xargs -0 -n 1 -P 3 bzip2
"Remove the first 13 characters of each "".txt"" filename in the ""/tmp"" directory tree and number the output",find /tmp -type f \( -name '*.txt' \) |cut -c14- | nl
Find out all files owned by user vivek,find / -user vivek
"Delete all the files found in the current directory tree whose names begin with ""heapdump""",find . -name heapdump* -exec rm {} \ ;
find all the regular files in the current folder which have specific word in their name and force delete all these files and save the log to the file log_del.txt,find ./ -type f -name '*.c*' -print0 | xargs -0 rm -rf &>> log_del.txt
Search the current directory tree for regular files that were modified $FTIME days ago,find . -type f -mtime $FTIME
find all directory list which have empty list in /tmp directory,find /tmp -type d -empty
"Find all files whose names do not begin with ""zsh"" on ext3 file systems",find / -fstype ext3 -name zsh -ls 2> /dev/null
Find all files/directories under current directory with 'foobar' (case insensitive) in their names and copy them to ~/foo/bar,"find . -iname ""*foobar*"" -exec cp ""{}"" ~/foo/bar \;"
Search the current directory recursively for MOV files,find . -iname *.mov
Remove all files from the current directory tree whose names contain whitespaces,"find . -name ""* *"" -exec rm -f {} \;"
Display a list of files with sizes in decreasing order of size of all the regular files under '/your/dir' directory tree that are bigger than 5 MB in size,find /your/dir -type f -size +5M -print0 | xargs -0 ls -1Ssh
"Search all .java files residing in the current directory tree and modified at least 7 days ago for string ""swt""",find . -name '*.java' -mtime +7 -print0 | xargs -0 grep 'swt'
Find files matching regular expression regexp,find . | xargs grep regexp
Rename all .txt files to .bak in the current directory tree,"find . -name ""*.txt"" | sed ""s/\.txt$//"" | xargs -i echo mv {}.txt {}.bak | sh"
"Print only the line ""foo///"" given two empty directories foo and bar",find foo/// bar/// -name foo -o -name 'bar?*'
Find all *.java files under current directory containing the string 'String',"find . -name ""*.java"" -exec grep ""String"" {} \;"
Remove all *.sql files in the $backup_path directory tree that were last modified more than 30 days ago,find $backup_path/* -name *.sql -mtime +30 -exec rm {} \;
search the entire file system and save all the core file paths into a file,find / -name core -print | xargs echo > /tmp/core.log
Counts lines in each of *.php files in current folder with subfolders and prints total count as well.,find . -name '*.php' | xargs wc -l | sort -r
Find all symbolic links under '/some/directory' tree,find /some/directory -type l -print
Remove all *.doc files from the current directory tree,"find . -name '*.doc' -exec rm ""{}"" \;"
"Set permissions to ug=rwx,o= for directories under the $d directory tree","find $d -type d -exec chmod ug=rwx,o= '{}' \;"
"List path/filename of all PHP files under current directory whose file type description or path/name contains ""CRLF""","find . -type f -iname ""*.php""  -exec file ""{}"" + | grep CRLF"
find all the files which are of size 0 bytes.,find . -type f -empty
"Save the list of all subdirectories of the current directory up to depth level 2 as ""dirlist""",find -maxdepth 2 -type d -ls >dirlist
Find all *.xml.bz2 files under current directory,find . -name \*.xml.bz2
"Replace all occurrence of ""subdomainA.example.com"" with ""subdomainB.example.com"" in all files under /home/www and below",find /home/www -type f -print0 | xargs -0 sed -i 's/subdomainA.example.com/subdomainB.example.com/g'
change owner of all files into current directory except  files named as  './var/foo*' to user www-data,find . -not -iwholename './var/foo*' -exec chown www-data '{}' \;
Search directory tree `MyApp.app' for directories whose name is 'Headers' and delete them in an optimized way,find -d MyApp.app -name Headers -type d -print0 | xargs -0 rm -rf
"display all files in the current directory excluding those that are present in the directories whose name starts with ""efence"" and do not search in the sub directories","find * -maxdepth 0 -name ""efence*"" -prune -o -print"
Find all files/directories in current directory and execute myscript for each of them,find . -exec myscript {} \;
find all the normal/regular files in the current folder which have been modified in the last 24 hours and display a long listing of them,find . -type f -mtime -1 -exec ls -l {} \;
List all files in the current directory tree except for those in the ./src/emacs directory,find . -path './src/emacs' -prune -o -print
Find directories in the /path directory tree whose names are 33 characters in length,"find /path -type d -printf ""%f\n"" | awk 'length==33'"
"find all the files in current folder which end with "".bak"" or "".backup"" which have not been accessed in the last 30 days and delete the files if they exist",find .  -type f -atime +30 -exec csh -c 'if  rm $1' '{}' ;
search for all empty directories in the folder /home,find /home -type d -empty
"List all files/directories under current directory matching the posix-egrep type regex "".+\.(c|cpp|h)$"" in their names excluding the paths */generated/* and */deploy/*",find . -regextype posix-egrep -regex '.+\.(c|cpp|h)$' -not -path '*/generated/*' -not -path '*/deploy/*' -print0 | xargs -0 ls -L1d
"Find string ""STRING"" in files residing in the current directory tree, case insensitive","find . -type f -print | xargs grep -ni ""STRING"""
Find all links to path/to/file,find -L -samefile path/to/file
"Find the ""*.foo"" files in the current directory tree that are not under "".snapshot"" directories",find . -name .snapshot -prune -o -name '*.foo' -print
Search for first match of the regex 're' in all *.coffee files under current directory,find . -name \*.coffee -exec awk '/re/ {print;exit}' {} \;
Search the current directory tree for regular files omitting directory `omit-directory',find . -name omit-directory -prune -o -type f  -print
Find '.git' directories in directory tree /path/to/files and print the pathnames of their parents,find /path/to/files -type d -name '.git' -exec dirname {} +
Find all files/directories under current directory with 'FooBar' in their paths and copy them to ~/foo/bar,find . | grep FooBar | xargs -I{} cp {} ~/foo/bar
Find all files/directories whose names start with 'readme' (case insensitive) under '/usr/share/doc' directory tree,find /usr/share/doc -iname readme\*
Find all files under /somefolder matching the case insensitive regex '\(.*error.*\)\|\(^second.*\log$\)\|\(.*FFPC\.log$\)' in their paths,find /somefolder -type f | grep -i '\(.*error.*\)\|\(^second.*\log$\)\|\(.*FFPC\.log$\)'
Archive the entire file system into tarfile.tar.bz2,find / -print0 | xargs -0 tar cjf tarfile.tar.bz2
find all files having certain word in its name in the current folder,"find . -name ""*bsd*"" -print"
Find all regular files in the current directory and its subdirectories.,find . -type f
"Find regular files under and below /path that match pattern ""???-???_[a-zA-Z]*_[0-9]*_*.???""","find /path -type f -name ""???-???_[a-zA-Z]*_[0-9]*_*.???"""
Find all *.dbf files/directories in entire file system discarding errors and print their sorted and unique parent directory paths,find / -name \*.dbf -print0 2>/dev/null | xargs -0 -n1 dirname | sort | uniq
display a long listing of all the normal/regular files in the current folder,find . -type f -print0 | xargs -0 ls -l
Find all files in the file system with the SUID bit,find / -perm -u+s -print
Find all directories under current directory tree that match the case insensitive regex '^\./course\*[0-9]$' in their paths,find . -type d -iregex '^\./course\*[0-9]$'
"find the file ""dateiname"" in the entire file system ( case insensitive search)","find / -iname ""Dateiname"""
Find all executable files under current directory and show a few lines of output from the beginning,find . -perm /a=x | head
Find all files/directories containing 'farm' in their names under '/usr/share' directory tree,find /usr/share -name '*farm*'
"display all the files in the current folder except those whose name is ""PERSONAL""",find . -name PERSONAL -prune -o -print
display all the users in the current folder which do not belong to the user root,find . ! -user root
Find all regular files in the current directory tree that are not readable by all,find -type f ! -perm -444
"Find files in and below the current directory whose names begin with ""not"" and remove one of them",find . -name not\* | tail -1 | xargs rm
Recursively finds all '*.pdf' files in a current folder and removes them.,"find . -name ""*.pdf"" -print0 | xargs -0 rm"
"Recursively finds in all folders but ""./output/*"" all files but *.o, *.swp and prints strings with 'soc_attach' text pattern and number of matched string.","find .  \( ! -path ""./output/*"" \) -a \( -type f \) -a \( ! -name '*.o' \) -a \( ! -name '*.swp' \) | xargs grep -n soc_attach"
Replace all occurrences of 'previousword' with 'newword' in all regular files with '.cpp' extension under '/home/www' directory tree and modify them in-place,find /home/www -type f -name '*.cpp'  -exec sed -i 's/previousword/newword/g' '{}' \;
delete all the log files which have not been modified in the last 5 days after user confirmation,"find . — name ""*.LOG"" — mtime +5 -ok rm {} \;"
display long listing of all files in the current directory whose size is 24 or 25 bytes.,find . -size -26c -size +23c -ls
Search  in current directory downwards all files whose owner is aa1 or whose name is myfile .,find . \ -print
display all the files in the current folder which have been modified between two dates,find . -newermt “Sep 1 2006” -and \! -newermt “Sep 10 2006”
find all the mp3 files in the file system,"find / -iname ""*.mp3"" -print"
"Find all files called ""INPUT.txt"" in the current directory tree and remove lines starting with # in them, saving backup copies as INPUT.txt.bak",find . -type f -name INPUT.txt -print0 | xargs -0 -I {}  sed -i.bak '/^#/d' {}
Find all directories under /home/me,find /home/me -type d
Count the toal number of lines in all .py files in current directory tree,find . -name *.py -exec wc -l {} \; | awk '{ SUM += $0} END { print SUM }'
"Search directory /home/ABCD recursively, starting from one level below, for regular files",find /home/ABCD/ -mindepth 1 -type f -print
"Find all files in the current directory tree with extension .html and replace all occurences of ""php"" with ""html"" inside them","find ./ -type f -name *"".html"" | xargs sed -i ""s/php/html/g"""
Find all the regular files in $DIR directory tree which have not been modified in the last 450 days and delete them,find $DIR -type f -mtime +450 -exec rm {} \;
"Recursively finds file some_file_name.xml file and prints strings with ""PUT_YOUR_STRING_HERE"" preceding each found string with file name.",find . -type f -name some_file_name.xml -exec grep -H PUT_YOUR_STRING_HERE {} \;
Delete all files/directories older than 48 hours in /path/to/files* paths,find /path/to/files* -mtime +2 -delete
Delete all filename* files under /dir directory,"find /dir -name ""filename*"" -type f -delete"
Find & calculate total number of caractor  in all .txt file from current directory,find .  -type f  -name '*.txt' -exec wc -c {} \; | awk '{total += $1} END{print total}'
display list of all the files in the current directory,find | xargs ls
"Search the current directory tree for all files matching pattern ""*.rb""","find . -name ""*.rb"""
Copies file 'index.html' to each top-level directory in the current directory beginning with 'd'.,find . -mindepth 1 -maxdepth 1 -type d| grep \/a |xargs -n 1 cp -i index.html
search for all the regular/normal mp3 files in the file system and move them to the folder /mnt/mp3,"find / -iname ""*.mp3"" -type f | xargs -I '{}' mv {} /mnt/mp3"
Find recursively the latest modified file in the current directory,find . -type f | xargs ls -ltr | tail -n 1
"change the current working directory to ""B"" and display all the files in that folder and append the output to the file ""tmp.txt""",cd B && find . >> ../tmp.txt
Find all .gif files in the /var/www directory tree,find /var/www -name *.gif
"Find all directories named ""D"" in the current directory tree",find ./ -type d -name 'D'
"Search the current directory tree for the files with extension ""trc"" and remove them if they are more than three days old","find . -name ""*.trc"" -ctime +3 -exec rm -f {} \;"
Find a directory named 'project.images' in the entire filesystem,"find  / -type d -name ""project.images"""
Find all the files named 'vimrc' anywhere on the system,find / -name vimrc
Locate OGG files under the home directory smaller than 100 megabytes,find $HOME -iname '*.ogg' -type f -size -100M
Find all files under minimum 1 level down the current directory,find .  -mindepth 1 -type f
find all directories with the name root in the entire file system.,find / -type d -name root
Find all .gz archives in the current directory tree and check if they are valid,"find ""*.gz"" -exec gunzip -vt ""{}"" +"
Find all regular files on the system whose size is greater than 20000k,find / -type f -size +20000k
"search for the file ""abc"" in the current folder or display all the directories",find . -name abc -or -type d
Search the ~ and `Music' directory trees for .mp3 files,find ~ Music -name '*.mp3'
Locate all the hard links of file `passwd',find / -samefile passwd
Find all build* directories under /var/www/html/ and print all but first 5 appending with the string 'rf ',"find /var/www/html/ -type d -name ""build*"" | sort | tail -n +5 | xargs -I % echo -rf %"
Find all the regular files under $DIR directory tree which have been modified before the file $a excluding the file $a and delete them,"find ""$DIR"" -type f \! -newer ""$a"" \! -samefile ""$a"" -exec rm {} +"
Find all symbolic links under '/proc/$pid/fd' directory tree with name pattern '$save_path/sess_\*' and update their timestamps,"find ""/proc/$pid/fd"" -ignore_readdir_race -lname ""$save_path/sess_\*"" -exec touch -c {}"
"Search the ~/Books directory recursively for regular files named ""Waldo""",find ~/Books -type f -name Waldo
search for the file filename in the entire file system,find / -name filename
Remove all files that end with 'prefs copy' in their names under '/mnt/zip' directory tree,"find /mnt/zip -name ""*prefs copy"" -print | xargs rm"
Replace all spaces with underscores in file paths under current directory.,"find -name ""* *"" -type f | rename 's/ /_/g'"
