bash_code,nl_command,srno
find /Users/david/Desktop -type f \( -name '*.txt' -o -name '*.mpg' -o -name '*.jpg' \),"Search directory /Users/david/Desktop/ recursively for regular files with extensions .txt, .mpg, .jpg",5179
"find ! -newermt ""apr 01 2007"" -newermt ""mar 01 2007"" -ls",List all files in the current directory tree that were last modified in March 2007,10725
find $dir -type f,Find all files under $dir,20678
"var=`hg st -R ""$path"" | tr -d '\n'`","Delete newlines from output of 'hg st -R ""$path""' and save to variable ""var""",1059
"find . -type f | xargs grep -I ""needle text""","Search the current directory recursively for files containing ""needle text""",6263
find {} -name 'upvoter-*' \ -maxdepth 1 -perm +111,Find all executable upvoter-* files/symlinks under maximum 1 level down the {} directory,15361
find . -name '*' | xargs rm,Forcefully delete all files in the current directory,282
find -name '*php' | xargs cat | wc -l,Count all the lines of all files with names ending with 'php' in current directory recursively,14847
tail -n +2 file.txt | split -l 4 - split_,"Split ""file.txt"" excluding the first line into files of at most 4 lines each and with a prefix ""split_""",969
cd $(dirname `which oracle`),"Change directory to the directory containing the ""oracle"" executable",16002
cat /dev/urandom | tr -cd 'a-f0-9' | head -c 32,"Print the first 32 hexadecimal characters from ""/dev/urandom""",20338
"find . -name "".txt"" | grep a",find all text files in current folder and display all files that have the alphabet a in their name,1940
find -L. -type l,Print a list of symbolic links reachable from the current directory that do not resolve to accessible files,24253
"echo 'hello, world' | cat","Print 'echo 'hello, world'",17659
find . -amin -30,find all files in the current folder which have been accessed in the last 30 minutes,620
"find ./ -name ""*.sqlite""",find all sqlite files in the current directory.,18310
"cat ip_addresses | sort | uniq -c | sort -nr | awk '{print $2 "" "" $1}'","Counts number of occurences of all ip addresses in 'ip_addresses' file, and prints all addresses with number of occurences in a descending order.",1743
find . -name '*.def' | sed 's/\/\1.out/' | xargs touch,"For each .def file under the current directory, create an empty .def.out file with current timestamp.",17775
ls | xargs -i mv {} unix_{},"Prefix all files and directories in the current directory with ""unix_""",18588
find /etc/nginx -name '*.conf' -exec echo {} ;,List .conf files residing in the /etc/nginx/ directory tree,14136
chown ftpuser testproject/ -R,"Recursively change the owner of all files in ""testproject/"" to ""ftpuser""",9848
source <,"Interpret in the current shell all lines in config.sh which contain the word ""marker""",3569
find test -depth -type d -empty -delete,"Delete all empty directories in the ""test"" directory tree",15564
"find . -type f -exec grep ""text"" {} /dev/null \;",Search for 'text' in all regular files under current directory tree,6117
find . -name vmware-*.log -print0 | xargs -0 rm,Remove all vmware-*.log files under current directory ensuring white space safety in filename,24540
find . -inum 782263 -exec rm -i {} \;,Find and remove the file with inode number 782263 in the current directory tree,22437
find . -mindepth 2 -type f,display all the regular/normal files in the current directory which are atleast 2 levels deep,3179
scp -v user@remotehost:/location/KMST_DataFile_*.kms,"Connect to host ""remotehost"" as ssh user ""user"" to copy remote file ""/location/KMST_DataFile_*.kms"" to current directory on local host.",19577
find . -type f -ctime -3 | tail -n 5,"find all the regular files in current folder, that have been changed in the last 3 days and display last 5 files",9500
"find /root_path -type f -iname ""*.class"" -printf ""%h\n"" | sort -u","List the unique parent directories of all .class files found under ""/root_path""",6100
find /thepath -type d -empty -print0 | xargs -0 rmdir -v,"Removes all empty folders under path '/thepath', printing info message on each operation.",16960
find . -type d -exec chmod 500 {} \;,Find all directories under current directory and change their permission to 500,10553
"echo ""Cannot acquire lock - already locked by $(cat ""$lockfile"")""","Print  ""Cannot acquire lock - already locked by "" followed by content of $lockfile file",13995
"#!/bin/bash

threshold=""90""
memory_usage=$(redis-cli info memory | grep 'used_memory_human' | cut -d ':' -f 2 | sed 's/$//')
if [ ""$memory_usage"" -gt ""$threshold"" ]; then
    echo ""Redis server memory usage is high: $memory_usage"" | mail -s ""Redis Memory Alert"" user@example.com
fi",Create a script to monitor system Redis server status and send alerts if memory usage exceeds a certain threshold.,23091
find . -name .svn -exec echo {} \;,List all .svn files/directories under current directory,15636
find . -name '*2011*' -print | xargs -n2 grep 'From: Ralph',Find *2011* files and grep for the string 'From: Ralph' in those files,6277
find / -type l -print0 | xargs -0 file | grep broken,Find broken links using the file command on each symlinks in the system and searching for the keword 'broken' with grep,9473
"#!/bin/bash

touch /tmp/firewall_log_events_report.txt
while true; do
    grep 'BLOCK' /var/log/firewall.log >> /tmp/firewall_log_events_report.txt
    sleep 3600

done",Create a script to monitor system firewall log events and generate reports on blocked connections.,23310
"find /your/path/ -type f -name ""*.html"" | xargs zip all_html_files.zip",search for all html files in a folder and create a zip file of all these files,13150
"find /path -perm /g+w,o+w",Find all files under /path and below writable by `group' or `other',11084
find -name '*my key phrase*' > mylist.txt,Find all files/directories with 'my key phrase' in their names under current directory and redirect the output to mylist.txt,22282
rmdir ed*,Removes any empty folder that matches pattern ed*.,5725
find . -newermt “Sep 1 2006” -and \! -newermt “Sep 10 2006”,display all the files in the current folder which have been modified between two dates,10832
find . -perm 777  -mtime 0 -print,display all the files in the current folder which have the permissions 777 and which have been modified in the last 24 hours.,16654
rm -rf *,Remove everything in a current folder without prompting.,630
"date +%Y:%m:%d -d ""yesterday""",Print yesterday's date as yyy:mm:dd,11971
"find . -iname '*.page' -exec awk '{if(length($0) > L) { LINE=NR;L = length($0)}} END {print L""|""FILENAME"":""LINE}' {} \; | sort",Get a sorted list of the longest line with line number for each file under current directory,19466
find /path/to/search -daystart -ctime -1,Find things changed today,19851
"#!/bin/bash

dir=""my_directory""
if [ ! -d ""$dir"" ]; then
    mkdir ""$dir""
fi
echo ""$dir created or already exists.""",Create a script to check if a directory exists and create it if it doesn't.,6431
diff -dbU0 a b | tail -n +4 | grep ^- | cut -c2-,"Print a minimal set of differences between files in directories ""a"" and ""b"", ignore the first 3 lines of output, and print any line starting with ""-"" with the first character removed",3375
mount -obind /etc /tmp/sarnold/mount_point/,"Mount the directory ""/etc"" on ""/tmp/sarnold/mount_point/""",12589
"alias cdl='cd -- ""$""'","set alias ""cdl"" for command 'cd -- ""$""'",24549
find . -type f -mtime 2 -mtime -3 -daystart -exec ls -l {} \;,find all the normal/regular files in the current folder which have been modified two days ago and display a long listing of them,21928
find . -atime +6 -exec ll | more,find al the files which have been accesed in the last 6 days and display their details,13761
git ls-files | xargs cat | wc -l,Count the number of lines in the current git repository,10239
awk '{s+=$1} END {print s}' mydatafile,"File 'mydatafile' has a number on each line, display the sum of these numbers.",20741
find . -type f -name '*.ini',"display all files ending with ""ini"" in current folder",2114
"finger | awk -F""\t"" -v 'OFS=\t' '{ $4=""""; print $0}' | sed 's/\t\{2,\}/\t/'","Delete the 4th tab separated column from the output of ""finger""",3217
time sleep 1,Reports time consumed by command 'sleep 1'.,13126
find pathfolder -mindepth 2 -maxdepth 2 -type f -not -path '*/\.*' | wc -l,"find all the normal/regular files in the folder ""pathfolder"" which are 2 levels deep, excluding all hidden files and display the count",3815
find / -perm +6000 -type f,Look for files that have SUID or SGID set,8322
"#!/bin/bash

for file in *.png; do
    convert ""$file"" ""${file%.png}.jpg""
done
echo ""PNG images converted to JPG format.""",Create a script to convert PNG images to JPG format in a directory.,3156
find . -type d -name build,Find directories named `build',14297
"#!/bin/bash

threshold=""500""
response_time=$(curl -o /dev/null -s -w '%{time_total}' http://example.com)
if (( $(echo ""$response_time > $threshold"" | bc -l) )); then
    echo ""HTTP response time is high: $response_time seconds"" | mail -s ""HTTP Response Alert"" user@example.com
fi",Create a script to monitor system HTTP response times and send alerts if response times exceed a certain threshold.,2279
"#!/bin/bash

threshold=50

while true; do
    ps -eo pid,%cpu,comm | awk '{if ($2 > $threshold) print ""Process "" $3 "" (PID: "" $1 "") is consuming high CPU resources: "" $2 ""%""}'
    sleep 300

done",Create a script that monitors system CPU usage per process and logs any processes consuming excessive CPU resources.,4600
"awk '{print $2}' < file.txt | paste -s -d, -","Print the 2nd white space separated fields in ""file.txt"" as a comma separated list",14
find /home -type f -name '*.aac',"show all the "".acc"" files in the folder /home",1647
set | grep -oP '^\w*(?==)' | grep X,"List environment variables whose name contains ""X""",17910
"#!/bin/bash

threshold=""3""
failed_attempts=$(grep 'authentication failure' /var/log/auth.log | awk '{print $11}' | sort | uniq -c | sort -nr | head -n 1 | awk '{print $1}')

if [ ""$failed_attempts"" -gt ""$threshold"" ]; then
    ip_address=$(grep 'authentication failure' /var/log/auth.log | awk '{print $11}' | sort | uniq -c | sort -nr | head -n 1 | awk '{print $2}')
    iptables -A INPUT -s $ip_address -j DROP
fi",Create a script to monitor system firewall rules and block IP addresses with excessive failed login attempts.,2366
find / -perm -0002,Find all files on the system that are world writeable,4649
"find . -type d -name ""0"" -execdir tar -cvf filename.tar RS* \;","Find all directories named ""0"" in the current directory tree and create a tar archive of their RS* subdirectories",12198
"#!/bin/bash

while true; do
    dmesg | grep -i 'error' && echo ""Hardware error detected""
    sleep 300

done",Create a script that monitors system hardware error logs and alerts if any errors are found.,375
chmod 600 file,"Set permission of ""file"" to read only for the owner",22709
"#!/bin/bash

string=""abc!@#""

if [[ ""$string"" =~ ^[[:alpha:]!@#]+$ ]]; then
    echo ""$string contains only alphabetic characters and special characters""
else
    echo ""$string does not contain only alphabetic characters and special characters""
fi",Check if a string contains only alphabetic characters and special characters.,526
"find ./ -type f -name ""pattern"" ! -path ""excluded path"" ! -path ""excluded path""","search for pattern matched files in the current folder and subfolders exclude ""excluded path""",9132
sudo mount -t vboxsf D:\share_folder_vm \share_folder,"Mount the ""vboxsf"" filesystem ""D:\share_folder_vm"" on ""\share_folder""",11562
find /home/www -type f -print0 | xargs -0 sed -i 's/subdomainA\.example\.com/subdomainB.example.com/g',Find all regular files under /home/www and replace every occurrences of 'subdomainA.example.com' with 'subdomainB.example.com' in those files,13911
find -newer /etc/passwd,find all files in the current folder which have been modified after /etc/passwd,12766
"find . -type f -name ""*.java"" | xargs tar rvf myfile.tar",Append *.java files from the current directory tree to tar archive `myfile.tar',19976
find /home -type f -name test.txt -exec rm -f {} \,"force delete all the regular files with the name ""test.txt""",19343
"#!/bin/bash

http_status=$(curl -s -o /dev/null -w ""%{http_code}"" http://localhost)
if [ ""$http_status"" -ne 200 ]; then
    echo ""Apache server is down.""
    # Send alert here
fi",Create a script to monitor Apache server status and send an alert if the server is down.,530
yes 'printf \\u$[2571+RANDOM%2]'|bash,Display infinite scroll of random ASCII art,15597
yes 0 | script -c 'ispell text.txt' out.txt,"Automatically spell check file ""text.txt"" using ""ispell"" command and log the output to ""out.txt""",20099
diff -r dir1 dir2 | grep dir1 | awk '{print $4}' > difference1.txt,"Write summary of files present only in dir1, and which files differ between dir1 and dir2 to file 'difference1.txt'",21117
find ${userdir}/${i}/incoming -mtime +2 -type f -exec rm {} \;,Find files which are more than 2 days old under  ${userdir}/${i}/incoming directory and remove them,9462
"find . -type f \( -name ""*.conf"" -or -name ""*.txt"" \) -print",Search the current directory tree for *.conf and *.txt files,12474
"echo ""0a.00.1 usb controller some text device 4dc9"" | rev | cut -b1-4 | rev",Keep the last 4 ASCII characters  of a string.,17779
find . -maxdepth 2 -name '*.tex',Find all *.tex files/directories in maximum 2 levels down the current directory,12202
find /var/www -type f -print0 | xargs -0 chmod 644,Set permissions for all regular files under /var/www to 755,12583
find /foot/bar/ -name '*.csv' -print0 | xargs -0 mv -t some_dir,Find all *.csv files under /foo/bar and move them to some_dir,11172
\time -o time.log command,Uses GNU tool 'time' to estimate time consumed by command 'command' and redirects output to file,24401
find . -size +10M,Find all files/directories under current directory that are greater than 10MB in size,12004
find / -size +1000 -mtime +30  -exec ls -l {} \;,display a long ilsting of all the files in the file system which are bigger than 1KB and which have not been modified in the last 30*24 hours,22016
ifconfig | grep -Eo 'inet (addr:)?([0-9]*\.){3}[0-9]*' | grep -Eo '([0-9]*\.){3}[0-9]*' | grep -v '127.0.0.1',Gets list of IP addresses of all network interfaces.,6564
"filename=""`basename ""http://pics.sitename.com/images/191211/pic.jpg""`""","Set variable ""filename"" to only the name of document specified by URL, in this case ""pic.jpg""",4704
find sourceDir -mindepth 1 -maxdepth 1 -print0 | xargs -0 mv --target-directory=destDir,Move all files from the `sourceDir' directory to the `destDir' directory,15283
find /starting/directory -type f -name '*.css' | xargs -ti grep '\.ExampleClass' {},"Search the .css files in the /starting/directory tree for "".ExampleClass""",18097
find / -name 'top???',find all the files in the entire file system that start with the word top and have 3 letters next to it.,15922
find Symfony -type f,display all regular/normal files in the folder Symfony,24273
find . -name '*.sql' -print0,Find all .sql files in the current directory recursively and print their path names separated by zeroes,956
sort <(sort -u file1.txt) file2.txt file2.txt | uniq -u,"Print lines in ""file1.txt"" that do not exist in ""file2.txt""",6676
find / -path /proc -prune -o -nouser -o -nogroup,Locate files not owned by any user or group,3454
find . -writable,find all the files in the current folder which are writable,12804
rand_str=$(mktemp --dry-run ${str// /X}),Creates random file name formatted like expression in variable ${str// /X} and saves it in 'rand_str' variable.,15141
md5=$,"Save the md5 sum hash of ""$my_iso_file"" to variable ""md5""",8596
od -t c file,"Dump ""file"" as ASCII characters",2072
find /home -depth -print | cpio -ov -0 /dev/rmt0 | tee -a tape.log,create a backup of all the files in the home folder on a partition and save the log to a file,957
"#!/bin/bash

threshold=""90""

cpu_usage=$(mpstat | awk '$12 ~ /[0-9.]+/ { print 100 - $12 }')

if [ ""$cpu_usage"" -gt ""$threshold"" ]; then
    echo ""CPU usage is high: $cpu_usage%"" | mail -s ""CPU Usage Alert"" user@example.com
fi",Create a script to monitor system CPU usage and send an alert if it exceeds a certain threshold.,16543
sudo chmod 755 -R /opt/lampp/htdocs,"Recursively set all permissions under ""/opt/lampp/htdocs"" to 755",14037
"find . -\( -name ""myfile[0-9][0-9]"" -o -name ""myfile[0-9]"" \)","display all files in the current folder which end with extension ""myfile"" followed by one digit or two digits",7006
find /path -type f -exec chmod 644 {} +;,Set 644 permission to all regular files under /path,353
"#!/bin/bash

netstat -tulnp",Print the list of all listening network connections with their associated processes.,13519
shopt -s execfail,Enables shell option 'nullglob'.,22463
fif2=$,Creates temporary file and saves path to it in 'fif2' variable.,16310
"#!/bin/bash

file=""/path/to/file""

if [ -r ""$file"" ]; then
    echo ""$file exists and is readable""
else
    echo ""$file does not exist or is not readable""
fi",Check if a specific file exists and is readable.,6237
"sudo find / -xdev -type f -size +100000 -name ""*.log"" -exec gzip {} \; -exec echo {} \;","Compress and display the original filename of every file on the system that is greater than 100000 bytes and ends in "".log""",12733
mount --bind olddir newdir,"Remount part of the file hierarchy from ""olddir"" to ""newdir""",8947
yes | cat -n | head -10 | awk 'NR % 4 == 1',"Print every 4th line from 10 lines of ""y"" with line numbers",14026
"find / -iname ""filename""","Search all directories starting from the root directory for ""filename""",23278
ls 2>&1 | tee -a /tmp/ls.txt,"Write the standard output and error of ""ls"" to the console and append it to ""/tmp/ls.txt""",2921
tail -n 1000 /var/spool/cron/*,"Print the last 1000 lines of all files matching ""/var/spool/cron/*""",15712
read -e,Read a line of standard input in an interactive shell,4645
find /tmp -type f -name '*' -mtime +7 -print0 | xargs -0 rm -f,Remove all regular non-hidden files modified more than 7 days ago and residing in the /tmp directory tree,662
"find . -type f -exec sh -c 'printf ""%s %s \n"" ""$"" ""$""' '' '{}' '{}' \;",display a long listing of all the regular/normal files in the current folder along with their md5sum,16083
git status | head -1 | cut -d ' ' -f 3,prints the name of the current git branch,7058
find . -perm /g+s,Find all the SGID files in the current directory tree,10182
find /Users/david/Desktop/ -type f,Search directory /Users/david/Desktop/ recursively for regular files,20050
find $HOME -name '*.c' -print | xargs grep -l sprintf,find all '*.c' files under $HOME directory which context contains sprintf,16691
find Symfony -name '*config*';,"find all the files starting with ""config"" in the folder Symfony",4791
"find ""$path"" -type f -print0 | sort -z | xargs -r0 md5sum | md5sum",Calculate md5 sum of the md5 sum of all the sorted files under $path,2357
grep UTRACE /boot/config-$(uname -r),Display all lines containing UTRACE in the current kernel's compile-time config file.,11895
find . -mtime +1,Search for the files/directories that were modified more than an hour ago,18312
df $PWD | awk '/[0-9]%/{print $(NF-2)}',Print amount of space available on the file system containing path to the current working directory.,24151
find /usr/src -name CVS -prune -o -mindepth +6 -print,"Find all files in the level 6 subdirecotries of /usr/src and below, ignoring CVS files",19812
find . | xargs perl -p -i -e ‘s/something/else/g’,find all the files in the current folder and replace old string with new string,20023
"find -name '*.php' -exec grep -iq ""fincken"" {} \; -exec grep -iq ""TODO"" {} \; -print",search for php files  in current directory and search for a word in all these files,17651
find -s,Find all files/directories under current directory bypassing file hierarchies in lexicographical order,13613
find . -iname foo -type d,"find foo, Foo, FOo, FOO, etc., but only dirs",1561
find . -type f -name '*.ini',"display all files ending with ""ini"" in current folder",11788
"find tmp -type f -printf ""f %s %p\n"" | awk '{sub(/^[^ ]+ +[^ ]/,sprintf)}1'","Print the names and sizes of regular files residing in the ""tmp"" directory tree",10327
"find / -name ""*.conf""",find all the configuration files in the file system,7180
"#!/bin/bash

threshold=""5""
slow_queries=$(mysqladmin status | grep Slow_queries | awk '{print $4}')
if [ ""$slow_queries"" -gt ""$threshold"" ]; then
    echo ""Slow queries detected in MySQL database: $slow_queries"" | mail -s ""MySQL Performance Alert"" user@example.com
fi",Create a script to monitor system MySQL database performance and send alerts if slow queries are detected.,15350
find . -mtime +10 -print,find all files in the current folder that are not modified in the last 240 hours,15314
"#!/bin/bash

max=0

for num in $@; do
    if (( num > max )); then
        max=$num
    fi
 done

echo ""Largest number is: $max""",Find the largest number among given numbers.,13259
find -mindepth 4 -name file,Find all files/directories named file in minimum 4 levels down the current directory,4110
find ${userdir}/${i}/incoming -mtime +2 -type f -ls,Find files which are more than 2 days old under  ${userdir}/${i}/incoming directory,21289
"find ""$DIR_TEMPORAL"" ""$DIR_DESCARGA"" -maxdepth 2 -name ""$nombre"" -printf '%f.torrent\n'",Find all files/directories with name pattern $nombre that are at most 2 levels down the $DIR_TEMPORAL and $DIR_DESCARGA directories and show only the file names  appended with '.torrent',515
"#!/bin/bash

mdadm --detail /dev/md0 | grep -q 'rebuilding' && echo ""RAID array rebuild is in progress."" | mail -s ""RAID Rebuild Alert"" user@example.com",Create a script to monitor system RAID array rebuild status and send an alert if a rebuild is in progress.,895
"find . -iname ""*notes*"" | xargs grep -i mysql","search for the word ""mysql"" in all the files in the current containing the word ""notes"" in their name",8602
find /dir/to/search/ -type f -name 'expression -and expression' -print,"Find regular files named ""expression -and expression"" under and below /dir/to/search/",16406
"find /home -user tecmint -iname ""*.txt""",Find all *.txt files of user Tecmint under /home directory,24503
find . -name bad -empty -delete,Delete recursively empty files named 'bad',900
"#!/bin/bash

threshold=500

process_count=$(ps aux | wc -l)

if [ ""$process_count"" -gt ""$threshold"" ]; then
    echo ""Number of processes is above threshold: $process_count"" | mail -s ""Process Count Alert"" admin@example.com
fi",Create a script to monitor system process count and send alerts if the number of processes exceeds a certain limit.,208
find ~/junk  -name 'cart[4-6]' -exec rm {}  \;,"Remove files cart4, cart5, cart6 in directory ~/junk",23311
"find .  \( ! -path ""./output/*"" \) -a \( -type f \) -a \( ! -name '*.o' \) -a \( ! -name '*.swp' \) | xargs grep -n soc_attach",find all regular files exclude .o and exclude *.swp and output line number of soc_attach if it has,459
find . -size 6M,find all the files in current directory of size exactly 6MB.,2431
awk -f `which script.awk` arg1,"Execute awk script ""script.awk"" that exists in ""$PATH"" with argument ""arg1""",13630
time find . -type f -exec stat {} + > /dev/null,Display in an optimized way file status for all regular files in the current directory tree suppressing error messages,3390
"find . -name ""*.c"" -print | xargs wc -l","display the number of lines in all the "".c"" files in the current folder",3912
find . -type d -regextype posix-egrep -regex '\./processor[[:digit:]]*/10\.',display all the directories in the current folder which start with processor followed by digit and ends with .1 or .2,21768
find /users/tom -name '*.p[lm]' -exec grep -l -- '->get(' {} + | xargs grep -l '#hyphenate',Find all *.p[lm] files under /users/tom directory that matches both the regex '->get(' and '#hyphenate' in their contents,553
finger | cut -d ' ' -f1 | sort -u | grep -iv login,Print the sorted unique column of usernames of users who are currently logged in without the header,19529
find -mindepth num -name query,Search for files specifying the minimum depth of the search,6918
find /some/path -name '*.coffee' -print0 | xargs -0 perl /path/to/your/program,Find all *.coffee files under /some/path and run 'perl /path/to/your/program' with all of the file paths as its arguments,18441
find -L,Find all files/directories under current directory following symlinks if needed,1926
find /data -type f -perm 400 -print -quit,Find a 400 permission file under /data directory,17019
sudo chown root process,change owner of the file process to user root,6083
"find -type f -printf ""%s %p\n"" | sort -nr | head -n 4 | sed -r 's/[0-9]+\s//g'","Find all files under current directory with their size and paths, reverse sort them numerically, then print the first 4 entries by removing all matches to the regex [0-9]+\s from each line of the output",23689
"#!/bin/bash

resolution=""800x600""
for file in *.jpg; do
    convert ""$file"" -resize ""$resolution"" ""$file""
done
echo ""Images resized to $resolution.""",Create a script to resize images in a directory to a specific resolution.,18280
"find /usr/src -not \( -name ""*,v"" -o -name "".*,v"" \) '{}' \; -print","Print all filenames in /usr/src except for those that are of the form '*,v' or '.*,v'",22810
tar -I pbzip2 -cf OUTPUT_FILE.tar.bz2 paths_to_archive,create an archive using pbzip2 as a compress program,106
find -cnewer /etc/fstab,find all the files in the current directory and sub-directories whose status was changed after /etc/fstab was modified,3042
find /usr -name *stat,Find all *stat files/directories under /usr,16370
chown nginx:nginx /your/directory/to/fuel/ -R,"Recursively change the owner and group of all files in ""/your/directory/to/fuel/"" to ""nginx""",10362
find / -perm -u+s,find all the files in the file system which have sticky bit enabled to the user,18094
find . -print,explicitly list all files in the current directory,90
find / -perm 644,Find all files/directories in entire file system with 644 permission,15526
find . -mmin -5,Find files modified in the last 5 minutes starting from the current directory,10434
"find $FULFILLMENT $ARCH1 -exec stat -c '%i,%b,%A,%h,%U,%G,%y,%n' {} \;",Print a detailed list of all files under and below the two directories given as variables $FULFILLMENT and $ARCH1,19559
sort $tmp | grep -v ':0'  #... handle as required,Sorts content of the $tmp file and filters out all strings with ':0'.,17302
find /tmp -name core -type f -print | xargs /bin/rm -f,"Remove all ""core"" regular files in the /tmp/ directory tree",14452
"find  / -name ""apt"" -ls",find all files  that names are 'apt' and display detailed list,18334
"find . -not \( -name .svn -prune -o -name .git -prune \) -type f -exec sed -i ""s/[[:space:]]*$//g"" ""{}"" \;",Remove trailing white spaces from all files under current directory ignoring .git and .svn directories,12237
find / -perm 2644,Find all the SGID bit files whose permissions set to 644 in the file system,14057
tree -af,List all files and sub directories including hidden files in the current directory tree,6369
tac a | grep -m1 -oP '.*',grep for the last occurrence of text between two tags,16386
"find /var/log -type f -size +100000k -exec ls -lh {} \; | awk '{ print $9 "": "" $5 }'",display the name and size of all the regular/normal files  in the var/log folder which are bigger than 100MB,22432
find $HOME/. -name *.txt -exec head -n 1 -v {} \; > report.txt,find all the text files in the home folder and display the first lines. Save the output to the file report.txt,9128
"find . -name  ""*.java""",find all *.java files/directories under current directory,8906
"find / -mindepth 3  -name ""*log""",Look for *log files in directories at least three levels down the directory tree,2721
find /var/www -type d -mtime 0 -name logs -exec sudo rm -fr {} \;,force remove all the directories with the name logs in the folder /var/www,16020
"find ./polkadots -type f -name ""*.pdf""",Find all *.pdf files under ./polkadots,13622
find / -name “*.jpg”,Look for *.jpg files on the system,8784
ant 2>&1|tee build.log,"Write output and error of ""ant"" to the console and to ""build.log""",15823
readlink -f /x/y/../../a/b/z/../c/d,"Convert relative path ""/x/y/../../a/b/z/../c/d"" into absolute path with resolved symbolic links",24345
find /  -perm /u=s,Find all SUID files .,19502
split -l 50000000 --filter=./filter.sh 2011.psv,"split the file 2011.psv into pieces per 50000000 lines processed with script ""filter.sh""",23925
find . -type f ! -size 0 -exec ls -l '{}' \;,Print ls output for all non-empty files under under current directory,10641
find . -type f | xargs grep whatever,"Search the regular files of the current directory tree for string ""whatever""",9769
set -- $,"Saves printed calendar of February,1900 in positional variables.",13400
find . -ls | awk '{printf}',List all files/directories under current directory using comma  as the delimiter for different fields in the output,3763
find xargstest/ -name 'file?B' | sort | xargs head -n1,Print the first line of every file matching pattern 'file?B' in the xargstest/ directory tree,214
find / -name '*.pdf',Search for .pdf files,17163
find . -type f -mtime +0,Find all regular files that reside in the current directory tree and were last modified at least 1 day ago,19881
file `which python`,"Print file type of the executable file of command ""python""",23105
"find . -type f -print -exec grep --color=auto --no-messages -nH ""search string"" ""{}"" \;","Search all the regular files from the current directory tree for ""search string""",18428
"find . -type f -name ""*.JPG""",Find regular files whose names end in .JPG,8921
find -depth -printf '%m:%u:%g:%p\0' >saved-permissions,Backup permissions of the files in the current directory tree,21805
readlink -f `ls --dereference /proc/$pid/exe`,"Find absolute path of command with PID ""$pid""",6155
seq 1 10 | perl -ne 'print if ' | perl -ne 'print if ' | perl -ne 'print if ',"Print all lines of ""seq 1 10"" except the last 3",8358
mount | grep $ | grep '/media/WD_Disk_1 ',"Check if a drive with UUID ""09b8f1ab-8d4b-4c5f-b395-40be09c090b0"" is mounted on ""/media/WD_Disk_1""",17774
find . -print,print all files in the current directory and all subdirectories,4168
find / -type l -lname '/mnt/oldname*',Search for symlinks pointing to anywhere within /mnt/oldname/,20173
find . -print | xargs ls,List all files and directories from the current directory tree,16968
find ~/documents -type f -name '*.txt' -exec grep -s DOGS {} \; -print,"Search all *.txt files under ~/documents for the word ""DOGS""",24468
find . -type f -atime +30 -exec rm {} \;,Delete all files that have not been accessed in the last 30 days,24554
"#!/bin/bash

function_name=""<function_name>""
function_status=$(aws lambda get-function --function-name $function_name --query 'Configuration.State' --output text)
if [ ""$function_status"" == ""Active"" ]; then
    aws lambda update-function-configuration --function-name $function_name --timeout 60
fi",Create a script to monitor system AWS Lambda function status and trigger automatic retries when function invocations fail.,16501
find . -type f -iregex '.*\.jpe?g',display all the jpg images in current folder,5110
"find dir1 dir2 dir3 -type f -name ""*.java"" -exec grep -il 'foo' {} \;","Search for 'foo' in all the java files under 'dir1', 'dir2' and 'dir3' directory tree and print only the names of the matched files",24291
find . -name \*.c -print,search for all the c files in the current folder,23284
read -d'' -s -n1,Read a single character from standard input with delimeter '' and no echo,8713
"find . -type f -exec grep -Iq . {} \; -and -print0 | xargs -0 grep ""needle text""","Search the current directory recursively for files containing ""needle text""",1764
"find . -type f -printf ""%C@ %p\n"" | sort -rn | head -n 10",Find 10 most recently changed files in the current directory tree,18260
find / -lname foo.txt,Find links to any file that happens to be named `foo.txt',13548
cat *.txt | tail -n +1001 | split --lines=1000,"Split the contents of all "".txt"" excluding the first 1000 lines into files of at most 1000 lines each",11537
"grep foo `find /usr/src/linux -name ""*.html""`",Search for the string 'foo' in *.html files under /usr/src/linux directory,15070
find . -type d \( -name media -o -name images -o -name backups \) -prune -o -print,"show all directories in the current folder excluding those that are present in the sub directories of media, images and backups",3225
find / -type f ! -perm 777,Find all the files without permission 777 in the file system,527
"find . -name ""*.cc"" -print -exec grep ""xxx"" {} \;","Search the *.cc files in the current directory tree for string ""xxx""",15252
gzip,Compress from standard input with gzip,19331
LANG=en_US cal,Set LANG variable to 'en_US' and prints calendar for a current month.,20858
find . -mindepth 1 -maxdepth 1 -type d| xargs -n 1 cp -i index.html,"Create a copy of index.html in all directories in current directory, pausing for confirmation before overwriting any existing files - names may not contain spaces - names may not contain spaces.",12092
sed '/pattern to match/d' ./infile,"Remove the line matching ""pattern to match"" in ""./infile"" and print to standard output",5656
"seq 1 10 | xargs -n1 -P2 bash -c 'i=$0; url=""http://example.com/?page${i}.html""; curl -O -s $url'","Download 10 web pages ""http://example.com/?page${i}.html"" at most 2 at a time with ""${i}"" ranging from 1 to 10",8885
"#!/bin/bash

strong_number() {
    num=""$1""
    temp=""$num""
    sum=0
    while [ ""$num"" -gt 0 ]; do
        digit=$((num % 10))
        factorial=1
        for ((i=1; i<=digit; i++)); do
            factorial=$((factorial * i))
        done
        sum=$((sum + factorial))
        num=$((num / 10))
    done
    if [ ""$sum"" -eq ""$temp"" ]; then
        echo ""$temp is a strong number""
    else
        echo ""$temp is not a strong number""
    fi
}
strong_number 145",Create a script to check if a number is a strong number or not.,6060
