nl_cmd
"allow read for user, read for group, and read for others on file <file-name>"," chmod 444 <file-name>"
"grant write and execute access for user, all for group, and all to others for <directory-name>","chmod 377 <directory-name>"
"set permissions to write and execute for owner, all for group members, and all for others on <directory-name>","chmod 377 <directory-name>"
"set permissions to write and execute for owner, all for group members, and none for others on <file-name>"," chmod 370 <file-name>"
"assign write and execute permission to user, all permission to group, and none permission to others for <directory-name>","chmod 370 <directory-name>"
"assign write and execute permission to user, all permission to group, and none permission to others for <directory-name>","chmod 370 <directory-name>"
"provide write and execute for user, none to group, and read to others for <file-name>"," chmod 304 <file-name>"
"grant write and execute access for user, none for group, and read to others for <directory-name>","chmod 304 <directory-name>"
"set permissions to write and execute for owner, none for group members, and read for others on <directory-name>","chmod 304 <directory-name>"
"grant write and execute access for user, none for group, and write to others for <file-name>"," chmod 302 <file-name>"
"allow write and execute for user, none for group, and write for others on directory/folder <directory-name>","chmod 302 <directory-name>"
"provide write and execute for user, none to group, and write to others for <directory-name>","chmod 302 <directory-name>"
"set permissions to write and execute for owner, none for group members, and execute for others on <file-name>"," chmod 301 <file-name>"
"provide write and execute for user, none to group, and execute to others for <directory-name>","chmod 301 <directory-name>"
"grant write and execute access for user, none for group, and execute to others for <directory-name>","chmod 301 <directory-name>"
"set permissions to write and execute for owner, none for group members, and read and write for others on <file-name>"," chmod 306 <file-name>"
"assign write and execute permission to user, none permission to group, and read and write permission to others for <directory-name>","chmod 306 <directory-name>"
"set permissions to write and execute for owner, none for group members, and read and write for others on <directory-name>","chmod 306 <directory-name>"
"set permissions to write and execute for owner, none for group members, and read and execute for others on <file-name>"," chmod 305 <file-name>"
"grant write and execute access for user, none for group, and read and execute to others for <directory-name>","chmod 305 <directory-name>"
"provide write and execute for user, none to group, and read and execute to others for <directory-name>","chmod 305 <directory-name>"
"set permissions to write and execute for owner, none for group members, and write and execute for others on <file-name>"," chmod 303 <file-name>"
"assign write and execute permission to user, none permission to group, and write and execute permission to others for <directory-name>","chmod 303 <directory-name>"
"assign write and execute permission to user, none permission to group, and write and execute permission to others for <directory-name>","chmod 303 <directory-name>"
"grant write and execute access for user, none for group, and all to others for <file-name>"," chmod 307 <file-name>"
"provide write and execute for user, none to group, and all to others for <directory-name>","chmod 307 <directory-name>"
"set permissions to write and execute for owner, none for group members, and all for others on <directory-name>","chmod 307 <directory-name>"
"set permissions to write and execute for owner, none for group members, and none for others on <file-name>"," chmod 300 <file-name>"
"allow write and execute for user, none for group, and none for others on directory/folder <directory-name>","chmod 300 <directory-name>"
"allow write and execute for user, none for group, and none for others on directory/folder and its sub-contents <directory-name>","chmod 300 <directory-name>"
"allow all for user, read for group, and read for others on file <file-name>"," chmod 744 <file-name>"
"assign all permission to user, read permission to group, and read permission to others for <directory-name>","chmod 744 <directory-name>"
"provide all for user, read to group, and read to others for <directory-name>","chmod 744 <directory-name>"
"allow all for user, read for group, and write for others on file <file-name>"," chmod 742 <file-name>"
"grant all access for user, read for group, and write to others for <directory-name>","chmod 742 <directory-name>"
"set permissions to all for owner, read for group members, and write for others on <directory-name>","chmod 742 <directory-name>"
"grant all access for user, read for group, and execute to others for <file-name>"," chmod 741 <file-name>"
"assign all permission to user, read permission to group, and execute permission to others for <directory-name>","chmod 741 <directory-name>"
"provide all for user, read to group, and execute to others for <directory-name>","chmod 741 <directory-name>"
"grant all access for user, read for group, and read and write to others for <file-name>"," chmod 746 <file-name>"
"provide all for user, read to group, and read and write to others for <directory-name>","chmod 746 <directory-name>"
"assign all permission to user, read permission to group, and read and write permission to others for <directory-name>","chmod 746 <directory-name>"
"set permissions to all for owner, read for group members, and read and execute for others on <file-name>"," chmod 745 <file-name>"
"set permissions to all for owner, read for group members, and read and execute for others on <directory-name>","chmod 745 <directory-name>"
"grant all access for user, read for group, and read and execute to others for <directory-name>","chmod 745 <directory-name>"
"allow all for user, read for group, and write and execute for others on file <file-name>"," chmod 743 <file-name>"
"provide all for user, read to group, and write and execute to others for <directory-name>","chmod 743 <directory-name>"
"assign all permission to user, read permission to group, and write and execute permission to others for <directory-name>","chmod 743 <directory-name>"
"grant all access for user, read for group, and all to others for <file-name>"," chmod 747 <file-name>"
"allow all for user, read for group, and all for others on directory/folder <directory-name>","chmod 747 <directory-name>"
"provide all for user, read to group, and all to others for <directory-name>","chmod 747 <directory-name>"
"set permissions to all for owner, read for group members, and none for others on <file-name>"," chmod 740 <file-name>"
"set permissions to all for owner, read for group members, and none for others on <directory-name>","chmod 740 <directory-name>"
"provide all for user, read to group, and none to others for <directory-name>","chmod 740 <directory-name>"
"provide all for user, write to group, and read to others for <file-name>"," chmod 724 <file-name>"
"set permissions to all for owner, write for group members, and read for others on <directory-name>","chmod 724 <directory-name>"
"provide all for user, write to group, and read to others for <directory-name>","chmod 724 <directory-name>"
"set permissions to all for owner, write for group members, and write for others on <file-name>"," chmod 722 <file-name>"
"grant all access for user, write for group, and write to others for <directory-name>","chmod 722 <directory-name>"
"set permissions to all for owner, write for group members, and write for others on <directory-name>","chmod 722 <directory-name>"
"grant all access for user, write for group, and execute to others for <file-name>"," chmod 721 <file-name>"
"allow all for user, write for group, and execute for others on directory/folder <directory-name>","chmod 721 <directory-name>"
"grant all access for user, write for group, and execute to others for <directory-name>","chmod 721 <directory-name>"
"provide all for user, write to group, and read and write to others for <file-name>"," chmod 726 <file-name>"
"allow all for user, write for group, and read and write for others on directory/folder <directory-name>","chmod 726 <directory-name>"
"set permissions to all for owner, write for group members, and read and write for others on <directory-name>","chmod 726 <directory-name>"
"set permissions to all for owner, write for group members, and read and execute for others on <file-name>"," chmod 725 <file-name>"
"provide all for user, write to group, and read and execute to others for <directory-name>","chmod 725 <directory-name>"
"assign all permission to user, write permission to group, and read and execute permission to others for <directory-name>","chmod 725 <directory-name>"
"provide all for user, write to group, and write and execute to others for <file-name>"," chmod 723 <file-name>"
"grant all access for user, write for group, and write and execute to others for <directory-name>","chmod 723 <directory-name>"
"grant all access for user, write for group, and write and execute to others for <directory-name>","chmod 723 <directory-name>"
"assign all permission to user, write permission to group, and all permission to others for <file-name>"," chmod 727 <file-name>"
"set permissions to all for owner, write for group members, and all for others on <directory-name>","chmod 727 <directory-name>"
"set permissions to all for owner, write for group members, and all for others on <directory-name>","chmod 727 <directory-name>"
"grant all access for user, write for group, and none to others for <file-name>"," chmod 720 <file-name>"
"provide all for user, write to group, and none to others for <directory-name>","chmod 720 <directory-name>"
"set permissions to all for owner, write for group members, and none for others on <directory-name>","chmod 720 <directory-name>"
"assign all permission to user, execute permission to group, and read permission to others for <file-name>"," chmod 714 <file-name>"
"allow all for user, execute for group, and read for others on directory/folder <directory-name>","chmod 714 <directory-name>"
"set permissions to all for owner, execute for group members, and read for others on <directory-name>","chmod 714 <directory-name>"
"assign all permission to user, execute permission to group, and write permission to others for <file-name>"," chmod 712 <file-name>"
"grant all access for user, execute for group, and write to others for <directory-name>","chmod 712 <directory-name>"
"grant all access for user, execute for group, and write to others for <directory-name>","chmod 712 <directory-name>"
"assign all permission to user, execute permission to group, and execute permission to others for <file-name>"," chmod 711 <file-name>"
"set permissions to all for owner, execute for group members, and execute for others on <directory-name>","chmod 711 <directory-name>"
"provide all for user, execute to group, and execute to others for <directory-name>","chmod 711 <directory-name>"
"provide all for user, execute to group, and read and write to others for <file-name>"," chmod 716 <file-name>"
"provide all for user, execute to group, and read and write to others for <directory-name>","chmod 716 <directory-name>"
"allow all for user, execute for group, and read and write for others on directory/folder and its sub-contents <directory-name>","chmod 716 <directory-name>"
"set permissions to all for owner, execute for group members, and read and execute for others on <file-name>"," chmod 715 <file-name>"
"grant all access for user, execute for group, and read and execute to others for <directory-name>","chmod 715 <directory-name>"
"provide all for user, execute to group, and read and execute to others for <directory-name>","chmod 715 <directory-name>"
"provide all for user, execute to group, and write and execute to others for <file-name>"," chmod 713 <file-name>"
"grant all access for user, execute for group, and write and execute to others for <directory-name>","chmod 713 <directory-name>"
"provide all for user, execute to group, and write and execute to others for <directory-name>","chmod 713 <directory-name>"
"assign all permission to user, execute permission to group, and all permission to others for <file-name>"," chmod 717 <file-name>"
"assign all permission to user, execute permission to group, and all permission to others for <directory-name>","chmod 717 <directory-name>"
"provide all for user, execute to group, and all to others for <directory-name>","chmod 717 <directory-name>"
"allow all for user, execute for group, and none for others on file <file-name>"," chmod 710 <file-name>"
"provide all for user, execute to group, and none to others for <directory-name>","chmod 710 <directory-name>"
"assign all permission to user, execute permission to group, and none permission to others for <directory-name>","chmod 710 <directory-name>"
"provide all for user, read and write to group, and read to others for <file-name>"," chmod 764 <file-name>"
"assign all permission to user, read and write permission to group, and read permission to others for <directory-name>","chmod 764 <directory-name>"
"set permissions to all for owner, read and write for group members, and read for others on <directory-name>","chmod 764 <directory-name>"
"set permissions to all for owner, read and write for group members, and write for others on <file-name>"," chmod 762 <file-name>"
"provide all for user, read and write to group, and write to others for <directory-name>","chmod 762 <directory-name>"
"allow all for user, read and write for group, and write for others on directory/folder and its sub-contents <directory-name>","chmod 762 <directory-name>"
"set permissions to all for owner, read and write for group members, and execute for others on <file-name>"," chmod 761 <file-name>"
"grant all access for user, read and write for group, and execute to others for <directory-name>","chmod 761 <directory-name>"
"assign all permission to user, read and write permission to group, and execute permission to others for <directory-name>","chmod 761 <directory-name>"
"provide all for user, read and write to group, and read and write to others for <file-name>"," chmod 766 <file-name>"
"set permissions to all for owner, read and write for group members, and read and write for others on <directory-name>","chmod 766 <directory-name>"
"grant all access for user, read and write for group, and read and write to others for <directory-name>","chmod 766 <directory-name>"
"allow all for user, read and write for group, and read and execute for others on file <file-name>"," chmod 765 <file-name>"
"provide all for user, read and write to group, and read and execute to others for <directory-name>","chmod 765 <directory-name>"
"provide all for user, read and write to group, and read and execute to others for <directory-name>","chmod 765 <directory-name>"
"allow all for user, read and write for group, and write and execute for others on file <file-name>"," chmod 763 <file-name>"
"set permissions to all for owner, read and write for group members, and write and execute for others on <directory-name>","chmod 763 <directory-name>"
"set permissions to all for owner, read and write for group members, and write and execute for others on <directory-name>","chmod 763 <directory-name>"
"grant all access for user, read and write for group, and all to others for <file-name>"," chmod 767 <file-name>"
"grant all access for user, read and write for group, and all to others for <directory-name>","chmod 767 <directory-name>"
"assign all permission to user, read and write permission to group, and all permission to others for <directory-name>","chmod 767 <directory-name>"
"allow all for user, read and write for group, and none for others on file <file-name>"," chmod 760 <file-name>"
"assign all permission to user, read and write permission to group, and none permission to others for <directory-name>","chmod 760 <directory-name>"
"provide all for user, read and write to group, and none to others for <directory-name>","chmod 760 <directory-name>"
"set permissions to all for owner, read and execute for group members, and read for others on <file-name>"," chmod 754 <file-name>"
"provide all for user, read and execute to group, and read to others for <directory-name>","chmod 754 <directory-name>"
"provide all for user, read and execute to group, and read to others for <directory-name>","chmod 754 <directory-name>"
"assign all permission to user, read and execute permission to group, and write permission to others for <file-name>"," chmod 752 <file-name>"
"allow all for user, read and execute for group, and write for others on directory/folder <directory-name>","chmod 752 <directory-name>"
"provide all for user, read and execute to group, and write to others for <directory-name>","chmod 752 <directory-name>"
"assign all permission to user, read and execute permission to group, and execute permission to others for <file-name>"," chmod 751 <file-name>"
"provide all for user, read and execute to group, and execute to others for <directory-name>","chmod 751 <directory-name>"
"grant all access for user, read and execute for group, and execute to others for <directory-name>","chmod 751 <directory-name>"
"assign all permission to user, read and execute permission to group, and read and write permission to others for <file-name>"," chmod 756 <file-name>"
"grant all access for user, read and execute for group, and read and write to others for <directory-name>","chmod 756 <directory-name>"
"set permissions to all for owner, read and execute for group members, and read and write for others on <directory-name>","chmod 756 <directory-name>"
"set permissions to all for owner, read and execute for group members, and read and execute for others on <file-name>"," chmod 755 <file-name>"
"allow all for user, read and execute for group, and read and execute for others on directory/folder <directory-name>","chmod 755 <directory-name>"
"set permissions to all for owner, read and execute for group members, and read and execute for others on <directory-name>","chmod 755 <directory-name>"
"assign all permission to user, read and execute permission to group, and write and execute permission to others for <file-name>"," chmod 753 <file-name>"
"provide all for user, read and execute to group, and write and execute to others for <directory-name>","chmod 753 <directory-name>"
"grant all access for user, read and execute for group, and write and execute to others for <directory-name>","chmod 753 <directory-name>"
"allow all for user, read and execute for group, and all for others on file <file-name>"," chmod 757 <file-name>"
"assign all permission to user, read and execute permission to group, and all permission to others for <directory-name>","chmod 757 <directory-name>"
"assign all permission to user, read and execute permission to group, and all permission to others for <directory-name>","chmod 757 <directory-name>"
"assign all permission to user, read and execute permission to group, and none permission to others for <file-name>"," chmod 750 <file-name>"
"grant all access for user, read and execute for group, and none to others for <directory-name>","chmod 750 <directory-name>"
"set permissions to all for owner, read and execute for group members, and none for others on <directory-name>","chmod 750 <directory-name>"
"grant all access for user, write and execute for group, and read to others for <file-name>"," chmod 734 <file-name>"
"assign all permission to user, write and execute permission to group, and read permission to others for <directory-name>","chmod 734 <directory-name>"
"set permissions to all for owner, write and execute for group members, and read for others on <directory-name>","chmod 734 <directory-name>"
"provide all for user, write and execute to group, and write to others for <file-name>"," chmod 732 <file-name>"
"set permissions to all for owner, write and execute for group members, and write for others on <directory-name>","chmod 732 <directory-name>"
"set permissions to all for owner, write and execute for group members, and write for others on <directory-name>","chmod 732 <directory-name>"
"assign all permission to user, write and execute permission to group, and execute permission to others for <file-name>"," chmod 731 <file-name>"
"assign all permission to user, write and execute permission to group, and execute permission to others for <directory-name>","chmod 731 <directory-name>"
"set permissions to all for owner, write and execute for group members, and execute for others on <directory-name>","chmod 731 <directory-name>"
"grant all access for user, write and execute for group, and read and write to others for <file-name>"," chmod 736 <file-name>"
"grant all access for user, write and execute for group, and read and write to others for <directory-name>","chmod 736 <directory-name>"
"provide all for user, write and execute to group, and read and write to others for <directory-name>","chmod 736 <directory-name>"
"grant all access for user, write and execute for group, and read and execute to others for <file-name>"," chmod 735 <file-name>"
"allow all for user, write and execute for group, and read and execute for others on directory/folder <directory-name>","chmod 735 <directory-name>"
"grant all access for user, write and execute for group, and read and execute to others for <directory-name>","chmod 735 <directory-name>"
"provide all for user, write and execute to group, and write and execute to others for <file-name>"," chmod 733 <file-name>"
"grant all access for user, write and execute for group, and write and execute to others for <directory-name>","chmod 733 <directory-name>"
"assign all permission to user, write and execute permission to group, and write and execute permission to others for <directory-name>","chmod 733 <directory-name>"
"grant all access for user, write and execute for group, and all to others for <file-name>"," chmod 737 <file-name>"
"set permissions to all for owner, write and execute for group members, and all for others on <directory-name>","chmod 737 <directory-name>"
"allow all for user, write and execute for group, and all for others on directory/folder and its sub-contents <directory-name>","chmod 737 <directory-name>"
"provide all for user, write and execute to group, and none to others for <file-name>"," chmod 730 <file-name>"
"set permissions to all for owner, write and execute for group members, and none for others on <directory-name>","chmod 730 <directory-name>"
"allow all for user, write and execute for group, and none for others on directory/folder and its sub-contents <directory-name>","chmod 730 <directory-name>"
"provide all for user, all to group, and read to others for <file-name>"," chmod 774 <file-name>"
"grant all access for user, all for group, and read to others for <directory-name>","chmod 774 <directory-name>"
"allow all for user, all for group, and read for others on directory/folder and its sub-contents <directory-name>","chmod 774 <directory-name>"
"grant all access for user, all for group, and write to others for <file-name>"," chmod 772 <file-name>"
"assign all permission to user, all permission to group, and write permission to others for <directory-name>","chmod 772 <directory-name>"
"grant all access for user, all for group, and write to others for <directory-name>","chmod 772 <directory-name>"
"set permissions to all for owner, all for group members, and execute for others on <file-name>"," chmod 771 <file-name>"
"allow all for user, all for group, and execute for others on directory/folder <directory-name>","chmod 771 <directory-name>"
"provide all for user, all to group, and execute to others for <directory-name>","chmod 771 <directory-name>"
"grant all access for user, all for group, and read and write to others for <file-name>"," chmod 776 <file-name>"
"set permissions to all for owner, all for group members, and read and write for others on <directory-name>","chmod 776 <directory-name>"
"provide all for user, all to group, and read and write to others for <directory-name>","chmod 776 <directory-name>"
"grant all access for user, all for group, and read and execute to others for <file-name>"," chmod 775 <file-name>"
"provide all for user, all to group, and read and execute to others for <directory-name>","chmod 775 <directory-name>"
"provide all for user, all to group, and read and execute to others for <directory-name>","chmod 775 <directory-name>"
"grant all access for user, all for group, and write and execute to others for <file-name>"," chmod 773 <file-name>"
"provide all for user, all to group, and write and execute to others for <directory-name>","chmod 773 <directory-name>"
"allow all for user, all for group, and write and execute for others on directory/folder and its sub-contents <directory-name>","chmod 773 <directory-name>"
"provide all for user, all to group, and all to others for <file-name>"," chmod 777 <file-name>"
"provide all for user, all to group, and all to others for <directory-name>","chmod 777 <directory-name>"
"set permissions to all for owner, all for group members, and all for others on <directory-name>","chmod 777 <directory-name>"
"allow all for user, all for group, and none for others on file <file-name>"," chmod 770 <file-name>"
"assign all permission to user, all permission to group, and none permission to others for <directory-name>","chmod 770 <directory-name>"
"allow all for user, all for group, and none for others on directory/folder and its sub-contents <directory-name>","chmod 770 <directory-name>"
"grant all access for user, none for group, and read to others for <file-name>"," chmod 704 <file-name>"
"grant all access for user, none for group, and read to others for <directory-name>","chmod 704 <directory-name>"
"set permissions to all for owner, none for group members, and read for others on <directory-name>","chmod 704 <directory-name>"
"allow all for user, none for group, and write for others on file <file-name>"," chmod 702 <file-name>"
"allow all for user, none for group, and write for others on directory/folder <directory-name>","chmod 702 <directory-name>"
"assign all permission to user, none permission to group, and write permission to others for <directory-name>","chmod 702 <directory-name>"
"grant all access for user, none for group, and execute to others for <file-name>"," chmod 701 <file-name>"
"assign all permission to user, none permission to group, and execute permission to others for <directory-name>","chmod 701 <directory-name>"
"grant all access for user, none for group, and execute to others for <directory-name>","chmod 701 <directory-name>"
"grant all access for user, none for group, and read and write to others for <file-name>"," chmod 706 <file-name>"
"grant all access for user, none for group, and read and write to others for <directory-name>","chmod 706 <directory-name>"
"assign all permission to user, none permission to group, and read and write permission to others for <directory-name>","chmod 706 <directory-name>"
"allow all for user, none for group, and read and execute for others on file <file-name>"," chmod 705 <file-name>"
"assign all permission to user, none permission to group, and read and execute permission to others for <directory-name>","chmod 705 <directory-name>"
"assign all permission to user, none permission to group, and read and execute permission to others for <directory-name>","chmod 705 <directory-name>"
"grant all access for user, none for group, and write and execute to others for <file-name>"," chmod 703 <file-name>"
"set permissions to all for owner, none for group members, and write and execute for others on <directory-name>","chmod 703 <directory-name>"
"set permissions to all for owner, none for group members, and write and execute for others on <directory-name>","chmod 703 <directory-name>"
"set permissions to all for owner, none for group members, and all for others on <file-name>"," chmod 707 <file-name>"
"set permissions to all for owner, none for group members, and all for others on <directory-name>","chmod 707 <directory-name>"
"allow all for user, none for group, and all for others on directory/folder and its sub-contents <directory-name>","chmod 707 <directory-name>"
"allow all for user, none for group, and none for others on file <file-name>"," chmod 700 <file-name>"
"allow all for user, none for group, and none for others on directory/folder <directory-name>","chmod 700 <directory-name>"
"set permissions to all for owner, none for group members, and none for others on <directory-name>","chmod 700 <directory-name>"
"set permissions to none for owner, read for group members, and read for others on <file-name>"," chmod 044 <file-name>"
"assign none permission to user, read permission to group, and read permission to others for <directory-name>","chmod 044 <directory-name>"
"allow none for user, read for group, and read for others on directory/folder and its sub-contents <directory-name>","chmod 044 <directory-name>"
"provide none for user, read to group, and write to others for <file-name>"," chmod 042 <file-name>"
"set permissions to none for owner, read for group members, and write for others on <directory-name>","chmod 042 <directory-name>"
"set permissions to none for owner, read for group members, and write for others on <directory-name>","chmod 042 <directory-name>"
"provide none for user, read to group, and execute to others for <file-name>"," chmod 041 <file-name>"
"provide none for user, read to group, and execute to others for <directory-name>","chmod 041 <directory-name>"
"provide none for user, read to group, and execute to others for <directory-name>","chmod 041 <directory-name>"
"grant none access for user, read for group, and read and write to others for <file-name>"," chmod 046 <file-name>"
"grant none access for user, read for group, and read and write to others for <directory-name>","chmod 046 <directory-name>"
"provide none for user, read to group, and read and write to others for <directory-name>","chmod 046 <directory-name>"
"grant none access for user, read for group, and read and execute to others for <file-name>"," chmod 045 <file-name>"
"set permissions to none for owner, read for group members, and read and execute for others on <directory-name>","chmod 045 <directory-name>"
"grant none access for user, read for group, and read and execute to others for <directory-name>","chmod 045 <directory-name>"
"grant none access for user, read for group, and write and execute to others for <file-name>"," chmod 043 <file-name>"
"grant none access for user, read for group, and write and execute to others for <directory-name>","chmod 043 <directory-name>"
"set permissions to none for owner, read for group members, and write and execute for others on <directory-name>","chmod 043 <directory-name>"
"provide none for user, read to group, and all to others for <file-name>"," chmod 047 <file-name>"
"allow none for user, read for group, and all for others on directory/folder <directory-name>","chmod 047 <directory-name>"
"set permissions to none for owner, read for group members, and all for others on <directory-name>","chmod 047 <directory-name>"
"allow none for user, read for group, and none for others on file <file-name>"," chmod 040 <file-name>"
"set permissions to none for owner, read for group members, and none for others on <directory-name>","chmod 040 <directory-name>"
"provide none for user, read to group, and none to others for <directory-name>","chmod 040 <directory-name>"
"allow none for user, write for group, and read for others on file <file-name>"," chmod 024 <file-name>"
"grant none access for user, write for group, and read to others for <directory-name>","chmod 024 <directory-name>"
"set permissions to none for owner, write for group members, and read for others on <directory-name>","chmod 024 <directory-name>"
"provide none for user, write to group, and write to others for <file-name>"," chmod 022 <file-name>"
"provide none for user, write to group, and write to others for <directory-name>","chmod 022 <directory-name>"
"assign none permission to user, write permission to group, and write permission to others for <directory-name>","chmod 022 <directory-name>"
"allow none for user, write for group, and execute for others on file <file-name>"," chmod 021 <file-name>"
"allow none for user, write for group, and execute for others on directory/folder <directory-name>","chmod 021 <directory-name>"
"provide none for user, write to group, and execute to others for <directory-name>","chmod 021 <directory-name>"
"set permissions to none for owner, write for group members, and read and write for others on <file-name>"," chmod 026 <file-name>"
"assign none permission to user, write permission to group, and read and write permission to others for <directory-name>","chmod 026 <directory-name>"
"provide none for user, write to group, and read and write to others for <directory-name>","chmod 026 <directory-name>"
"allow none for user, write for group, and read and execute for others on file <file-name>"," chmod 025 <file-name>"
"allow none for user, write for group, and read and execute for others on directory/folder <directory-name>","chmod 025 <directory-name>"
"provide none for user, write to group, and read and execute to others for <directory-name>","chmod 025 <directory-name>"
"grant none access for user, write for group, and write and execute to others for <file-name>"," chmod 023 <file-name>"
"provide none for user, write to group, and write and execute to others for <directory-name>","chmod 023 <directory-name>"
"allow none for user, write for group, and write and execute for others on directory/folder and its sub-contents <directory-name>","chmod 023 <directory-name>"
"assign none permission to user, write permission to group, and all permission to others for <file-name>"," chmod 027 <file-name>"
"grant none access for user, write for group, and all to others for <directory-name>","chmod 027 <directory-name>"
"grant none access for user, write for group, and all to others for <directory-name>","chmod 027 <directory-name>"
"grant none access for user, write for group, and none to others for <file-name>"," chmod 020 <file-name>"
"provide none for user, write to group, and none to others for <directory-name>","chmod 020 <directory-name>"
"grant none access for user, write for group, and none to others for <directory-name>","chmod 020 <directory-name>"
"assign none permission to user, execute permission to group, and read permission to others for <file-name>"," chmod 014 <file-name>"
"set permissions to none for owner, execute for group members, and read for others on <directory-name>","chmod 014 <directory-name>"
"assign none permission to user, execute permission to group, and read permission to others for <directory-name>","chmod 014 <directory-name>"
"allow none for user, execute for group, and write for others on file <file-name>"," chmod 012 <file-name>"
"grant none access for user, execute for group, and write to others for <directory-name>","chmod 012 <directory-name>"
"grant none access for user, execute for group, and write to others for <directory-name>","chmod 012 <directory-name>"
"grant none access for user, execute for group, and execute to others for <file-name>"," chmod 011 <file-name>"
"provide none for user, execute to group, and execute to others for <directory-name>","chmod 011 <directory-name>"
"set permissions to none for owner, execute for group members, and execute for others on <directory-name>","chmod 011 <directory-name>"
"set permissions to none for owner, execute for group members, and read and write for others on <file-name>"," chmod 016 <file-name>"
"allow none for user, execute for group, and read and write for others on directory/folder <directory-name>","chmod 016 <directory-name>"
"assign none permission to user, execute permission to group, and read and write permission to others for <directory-name>","chmod 016 <directory-name>"
"assign none permission to user, execute permission to group, and read and execute permission to others for <file-name>"," chmod 015 <file-name>"
"allow none for user, execute for group, and read and execute for others on directory/folder <directory-name>","chmod 015 <directory-name>"
"grant none access for user, execute for group, and read and execute to others for <directory-name>","chmod 015 <directory-name>"
"provide none for user, execute to group, and write and execute to others for <file-name>"," chmod 013 <file-name>"
"grant none access for user, execute for group, and write and execute to others for <directory-name>","chmod 013 <directory-name>"
"set permissions to none for owner, execute for group members, and write and execute for others on <directory-name>","chmod 013 <directory-name>"
"allow none for user, execute for group, and all for others on file <file-name>"," chmod 017 <file-name>"
"grant none access for user, execute for group, and all to others for <directory-name>","chmod 017 <directory-name>"
"assign none permission to user, execute permission to group, and all permission to others for <directory-name>","chmod 017 <directory-name>"
"grant none access for user, execute for group, and none to others for <file-name>"," chmod 010 <file-name>"
"allow none for user, execute for group, and none for others on directory/folder <directory-name>","chmod 010 <directory-name>"
"set permissions to none for owner, execute for group members, and none for others on <directory-name>","chmod 010 <directory-name>"
"assign none permission to user, read and write permission to group, and read permission to others for <file-name>"," chmod 064 <file-name>"
"provide none for user, read and write to group, and read to others for <directory-name>","chmod 064 <directory-name>"
"set permissions to none for owner, read and write for group members, and read for others on <directory-name>","chmod 064 <directory-name>"
"grant none access for user, read and write for group, and write to others for <file-name>"," chmod 062 <file-name>"
"allow none for user, read and write for group, and write for others on directory/folder <directory-name>","chmod 062 <directory-name>"
"set permissions to none for owner, read and write for group members, and write for others on <directory-name>","chmod 062 <directory-name>"
"provide none for user, read and write to group, and execute to others for <file-name>"," chmod 061 <file-name>"
"assign none permission to user, read and write permission to group, and execute permission to others for <directory-name>","chmod 061 <directory-name>"
"set permissions to none for owner, read and write for group members, and execute for others on <directory-name>","chmod 061 <directory-name>"
"assign none permission to user, read and write permission to group, and read and write permission to others for <file-name>"," chmod 066 <file-name>"
"provide none for user, read and write to group, and read and write to others for <directory-name>","chmod 066 <directory-name>"
"allow none for user, read and write for group, and read and write for others on directory/folder and its sub-contents <directory-name>","chmod 066 <directory-name>"
"provide none for user, read and write to group, and read and execute to others for <file-name>"," chmod 065 <file-name>"
"set permissions to none for owner, read and write for group members, and read and execute for others on <directory-name>","chmod 065 <directory-name>"
"allow none for user, read and write for group, and read and execute for others on directory/folder and its sub-contents <directory-name>","chmod 065 <directory-name>"
"set permissions to none for owner, read and write for group members, and write and execute for others on <file-name>"," chmod 063 <file-name>"
"provide none for user, read and write to group, and write and execute to others for <directory-name>","chmod 063 <directory-name>"
"set permissions to none for owner, read and write for group members, and write and execute for others on <directory-name>","chmod 063 <directory-name>"
"grant none access for user, read and write for group, and all to others for <file-name>"," chmod 067 <file-name>"
"allow none for user, read and write for group, and all for others on directory/folder <directory-name>","chmod 067 <directory-name>"
"set permissions to none for owner, read and write for group members, and all for others on <directory-name>","chmod 067 <directory-name>"
"provide none for user, read and write to group, and none to others for <file-name>"," chmod 060 <file-name>"
"grant none access for user, read and write for group, and none to others for <directory-name>","chmod 060 <directory-name>"
"assign none permission to user, read and write permission to group, and none permission to others for <directory-name>","chmod 060 <directory-name>"
"allow none for user, read and execute for group, and read for others on file <file-name>"," chmod 054 <file-name>"
"grant none access for user, read and execute for group, and read to others for <directory-name>","chmod 054 <directory-name>"
"assign none permission to user, read and execute permission to group, and read permission to others for <directory-name>","chmod 054 <directory-name>"
"set permissions to none for owner, read and execute for group members, and write for others on <file-name>"," chmod 052 <file-name>"
"allow none for user, read and execute for group, and write for others on directory/folder <directory-name>","chmod 052 <directory-name>"
"provide none for user, read and execute to group, and write to others for <directory-name>","chmod 052 <directory-name>"
"set permissions to none for owner, read and execute for group members, and execute for others on <file-name>"," chmod 051 <file-name>"
"allow none for user, read and execute for group, and execute for others on directory/folder <directory-name>","chmod 051 <directory-name>"
"grant none access for user, read and execute for group, and execute to others for <directory-name>","chmod 051 <directory-name>"
"allow none for user, read and execute for group, and read and write for others on file <file-name>"," chmod 056 <file-name>"
"assign none permission to user, read and execute permission to group, and read and write permission to others for <directory-name>","chmod 056 <directory-name>"
"provide none for user, read and execute to group, and read and write to others for <directory-name>","chmod 056 <directory-name>"
"grant none access for user, read and execute for group, and read and execute to others for <file-name>"," chmod 055 <file-name>"
